strategy_id,candidate_id,feature_snapshot_id,trading_date,signal_ts_ns,signal_ts_utc,direction,regime_label,entry_price,stop_price,target_prices,exit_ts_ns,exit_ts_utc,exit_price_weighted,exit_reason,holding_minutes,gross_points,gross_usd,round_turn_cost_usd,net_usd,mfe_points,mae_points,dynamic_target_rr
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2025-07-04-1751640660000000000-opening_range_box_breakout_long,bt-mnq-12mo-2025-07-04-1751640660000000000,2025-07-04,1751640660000000000,2025-07-04T14:51:00.000000000Z,long,low,22934,22887,pt1:22981|pt2:23028,1751648340000000000,2025-07-04T16:59:00.000000000Z,22904.5,rth_close,128,-29.5,-59,2,-61,8.75,38.5,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-04-1751640660000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-04-1751640660000000000,2025-07-04,1751640660000000000,2025-07-04T14:51:00.000000000Z,long,low,22934,22887,pt1:22981|pt2:23028,1751648340000000000,2025-07-04T16:59:00.000000000Z,22904.5,rth_close,128,-29.5,-59,2,-61,8.75,38.5,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-07-1751901780000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-07-1751901780000000000,2025-07-07,1751901780000000000,2025-07-07T15:23:00.000000000Z,long,low,22912.75,22882.25,pt1:22943.25|pt2:22973.75,1751905200000000000,2025-07-07T16:20:00.000000000Z,22912.75,stop,57,0,0,2,-2,50,45.5,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-07-1751906160000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-07-1751906160000000000,2025-07-07,1751906160000000000,2025-07-07T16:36:00.000000000Z,long,low,22921.25,22832.75,pt1:23009.75|pt2:23098.25,1751912160000000000,2025-07-07T18:16:00.000000000Z,22832.75,stop,100,-88.5,-177,2,-179,6.75,96.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-08-1751985060000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-08-1751985060000000000,2025-07-08,1751985060000000000,2025-07-08T14:31:00.000000000Z,long,low,22895.75,22848.75,pt1:22942.75|pt2:22989.75,1751986380000000000,2025-07-08T14:53:00.000000000Z,22895.75,stop,22,0,0,2,-2,47,51.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-08-1751986740000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-08-1751986740000000000,2025-07-08,1751986740000000000,2025-07-08T14:59:00.000000000Z,long,low,22894.25,22840.5,pt1:22948|pt2:23001.75,1752004740000000000,2025-07-08T19:59:00.000000000Z,22919.875,pt1_then_rth_close,300,25.625,51.25,2,49.25,68.5,39.5,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2025-07-09-1752070200000000000-opening_range_box_breakout_long,bt-mnq-12mo-2025-07-09-1752070200000000000,2025-07-09,1752070200000000000,2025-07-09T14:10:00.000000000Z,long,low,23097.5,22977.25,pt1:23217.75|pt2:23338,1752071760000000000,2025-07-09T14:36:00.000000000Z,22977.25,stop,26,-120.25,-240.5,2,-242.5,8.75,134.5,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-09-1752070200000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-09-1752070200000000000,2025-07-09,1752070200000000000,2025-07-09T14:10:00.000000000Z,long,low,23097.5,22977.25,pt1:23217.75|pt2:23338,1752071760000000000,2025-07-09T14:36:00.000000000Z,22977.25,stop,26,-120.25,-240.5,2,-242.5,8.75,134.5,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-10-1752157380000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-10-1752157380000000000,2025-07-10,1752157380000000000,2025-07-10T14:23:00.000000000Z,long,low,22939.25,22900.5,pt1:22978|pt2:23016.75,1752162660000000000,2025-07-10T15:51:00.000000000Z,22997.375,pt2,88,58.125,116.25,2,114.25,78,30.5,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-10-1752163860000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-10-1752163860000000000,2025-07-10,1752163860000000000,2025-07-10T16:11:00.000000000Z,long,low,22976.25,22900.5,pt1:23052|pt2:23127.75,1752177540000000000,2025-07-10T19:59:00.000000000Z,23015,rth_close,228,38.75,77.5,2,75.5,73.75,13.5,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2025-07-11-1752245880000000000-opening_range_box_breakout_long,bt-mnq-12mo-2025-07-11-1752245880000000000,2025-07-11,1752245880000000000,2025-07-11T14:58:00.000000000Z,long,low,22968.25,22862.5,pt1:23074|pt2:23179.75,1752263940000000000,2025-07-11T19:59:00.000000000Z,22955.25,rth_close,301,-13,-26,2,-28,53.5,59.5,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-11-1752245880000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-11-1752245880000000000,2025-07-11,1752245880000000000,2025-07-11T14:58:00.000000000Z,long,low,22968.25,22862.5,pt1:23074|pt2:23179.75,1752263940000000000,2025-07-11T19:59:00.000000000Z,22955.25,rth_close,301,-13,-26,2,-28,53.5,59.5,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2025-07-14-1752502860000000000-opening_range_box_breakout_long,bt-mnq-12mo-2025-07-14-1752502860000000000,2025-07-14,1752502860000000000,2025-07-14T14:21:00.000000000Z,long,low,22979.5,22842,pt1:23117|pt2:23254.5,1752523140000000000,2025-07-14T19:59:00.000000000Z,23034.5,rth_close,338,55,110,2,108,88.25,57,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-14-1752502860000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-14-1752502860000000000,2025-07-14,1752502860000000000,2025-07-14T14:21:00.000000000Z,long,low,22979.5,22842,pt1:23117|pt2:23254.5,1752523140000000000,2025-07-14T19:59:00.000000000Z,23034.5,rth_close,338,55,110,2,108,88.25,57,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2025-07-15-1752600660000000000-opening_range_box_breakout_short,bt-mnq-12mo-2025-07-15-1752600660000000000,2025-07-15,1752600660000000000,2025-07-15T17:31:00.000000000Z,short,high,23122.25,23223.25,pt1:23021.25|pt2:22920.25,1752609540000000000,2025-07-15T19:59:00.000000000Z,23052,rth_close,148,70.25,140.5,2,138.5,72.25,57.75,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-16-1752675120000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-16-1752675120000000000,2025-07-16,1752675120000000000,2025-07-16T14:12:00.000000000Z,long,low,23000.5,22947.75,pt1:23053.25|pt2:23106,1752679020000000000,2025-07-16T15:17:00.000000000Z,22947.75,stop,65,-52.75,-105.5,2,-107.5,44.5,58.75,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-16-1752681420000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-16-1752681420000000000,2025-07-16,1752681420000000000,2025-07-16T15:57:00.000000000Z,long,low,22988,22835.25,pt1:23140.75|pt2:23293.5,1752695940000000000,2025-07-16T19:59:00.000000000Z,23074.5,rth_close,242,86.5,173,2,171,112,34.75,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2025-07-21-1753106820000000000-opening_range_box_breakout_long,bt-mnq-12mo-2025-07-21-1753106820000000000,2025-07-21,1753106820000000000,2025-07-21T14:07:00.000000000Z,long,low,23396.5,23254.5,pt1:23538.5|pt2:23680.5,1753127940000000000,2025-07-21T19:59:00.000000000Z,23344.25,rth_close,352,-52.25,-104.5,2,-106.5,28.5,68.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-21-1753106820000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-21-1753106820000000000,2025-07-21,1753106820000000000,2025-07-21T14:07:00.000000000Z,long,low,23396.5,23254.5,pt1:23538.5|pt2:23680.5,1753127940000000000,2025-07-21T19:59:00.000000000Z,23344.25,rth_close,352,-52.25,-104.5,2,-106.5,28.5,68.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-22-1753194660000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-22-1753194660000000000,2025-07-22,1753194660000000000,2025-07-22T14:31:00.000000000Z,long,low,23197.5,23104.5,pt1:23290.5|pt2:23383.5,1753214340000000000,2025-07-22T19:59:00.000000000Z,23221,rth_close,328,23.5,47,2,45,59.5,38.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-24-1753367700000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-24-1753367700000000000,2025-07-24,1753367700000000000,2025-07-24T14:35:00.000000000Z,long,low,23339.5,23298,pt1:23381|pt2:23422.5,1753380660000000000,2025-07-24T18:11:00.000000000Z,23401.75,pt2,216,62.25,124.5,2,122.5,85.5,2,
