"trading_date","trades","net_pnl_usd","profit_factor","win_rate"
"2020-05-29","1","-128.5","0","0"
"2020-06-01","1","50.5",,"1"
"2020-06-02","2","-3.5","0.9646","0.5"
"2020-06-03","1","-7","0","0"
"2020-06-05","1","71.5",,"1"
"2020-06-08","1","125.75",,"1"
"2020-06-09","1","110.5",,"1"
"2020-06-10","2","40","1.4444","0.5"
"2020-06-11","1","-160.5","0","0"
"2020-06-17","1","-114.5","0","0"
"2020-06-18","1","-97","0","0"
"2020-06-22","1","137.5",,"1"
"2020-06-23","2","117.75","14.8529","0.5"
"2020-07-06","1","120.25",,"1"
"2020-07-07","1","-157","0","0"
"2020-07-08","2","-87.5","0.3371","0.5"
"2020-07-09","1","-16","0","0"
"2020-07-17","1","-43","0","0"
"2020-07-20","1","268.75",,"1"
"2020-07-28","1","-183","0","0"
"2020-07-29","1","78",,"1"
"2020-07-30","1","171",,"1"
"2020-08-03","1","-26.5","0","0"
"2020-08-04","1","-124","0","0"
"2020-08-05","1","-9","0","0"
"2020-08-06","1","141.25",,"1"
"2020-08-07","1","-91.5","0","0"
"2020-08-17","1","30",,"1"
"2020-08-18","1","21.5",,"1"
"2020-08-19","1","-168.5","0","0"
"2020-08-20","1","205.5",,"1"
"2020-08-25","1","139.25",,"1"
"2020-08-27","1","-211","0","0"
"2020-08-28","1","-120","0","0"
"2020-08-31","1","167.5",,"1"
"2020-09-01","1","157",,"1"
"2020-09-15","1","-138.5","0","0"
"2020-09-30","1","-37.5","0","0"
"2020-10-01","1","5",,"1"
"2020-10-06","2","-252","0","0"
"2020-10-09","1","122",,"1"
"2020-10-16","1","-2","0","0"
"2020-11-06","1","59",,"1"
"2020-11-11","1","102",,"1"
"2020-11-12","1","-170","0","0"
"2020-11-13","1","15.5",,"1"
"2020-11-16","1","46",,"1"
"2020-11-18","1","-154","0","0"
"2020-11-19","1","112",,"1"
"2020-11-20","1","-83","0","0"
"2020-11-25","1","13.5",,"1"
"2020-11-27","1","58.5",,"1"
"2020-12-01","1","115",,"1"
"2020-12-02","1","116.5",,"1"
"2020-12-03","3","-253.5","0","0"
"2020-12-04","1","37",,"1"
"2020-12-07","1","14.5",,"1"
"2020-12-08","1","111.25",,"1"
"2020-12-11","1","40",,"1"
"2020-12-14","1","-125.5","0","0"
"2020-12-15","1","22.5",,"1"
"2020-12-16","1","100",,"1"
"2020-12-21","1","68.5",,"1"
"2020-12-23","1","-152.5","0","0"
"2020-12-24","1","-29","0","0"
"2020-12-28","1","24",,"1"
"2020-12-31","1","46",,"1"
"2021-01-06","1","-101.5","0","0"
"2021-01-11","1","-169.5","0","0"
"2021-01-13","1","42.5",,"1"
"2021-01-14","1","-97","0","0"
"2021-01-18","1","-6.5","0","0"
"2021-01-19","1","123",,"1"
"2021-01-22","1","-72","0","0"
"2021-02-04","1","136.5",,"1"
"2021-02-05","1","4.5",,"1"
"2021-02-08","1","-87","0","0"
"2021-02-09","1","-59","0","0"
"2021-02-12","1","156.25",,"1"
"2021-02-16","1","-118","0","0"
"2021-03-12","1","82",,"1"
"2021-03-15","1","-176.5","0","0"
"2021-03-16","1","-196.5","0","0"
"2021-03-17","1","328",,"1"
"2021-03-23","1","-142","0","0"
"2021-03-26","1","-156","0","0"
"2021-03-30","1","12",,"1"
"2021-04-01","1","22",,"1"
"2021-04-06","1","-54","0","0"
"2021-04-07","1","37",,"1"
"2021-04-09","1","169.5",,"1"
"2021-04-12","1","1.5",,"1"
"2021-04-13","1","53",,"1"
"2021-04-15","1","91.25",,"1"
"2021-04-21","1","216.75",,"1"
"2021-04-22","1","-117.5","0","0"
"2021-04-26","1","109.75",,"1"
"2021-04-28","1","-180","0","0"
"2021-05-03","1","-134.5","0","0"
"2021-05-06","1","170.75",,"1"
"2021-05-07","1","-99","0","0"
"2021-05-14","1","183.25",,"1"
"2021-05-18","1","-127","0","0"
"2021-05-26","1","-17","0","0"
"2021-05-27","1","-89","0","0"
"2021-05-28","1","-92","0","0"
"2021-06-03","1","-88.5","0","0"
"2021-06-04","1","120",,"1"
"2021-06-07","1","71.5",,"1"
"2021-06-11","1","15.5",,"1"
"2021-06-14","1","164.75",,"1"
"2021-06-16","1","-94","0","0"
"2021-06-21","1","109",,"1"
"2021-06-22","1","149.25",,"1"
"2021-06-24","1","-88.5","0","0"
"2021-06-28","1","102.5",,"1"
"2021-06-29","1","66",,"1"
"2021-07-02","1","94",,"1"
"2021-07-06","2","-72","0.027","0.5"
"2021-07-08","1","182",,"1"
"2021-07-14","1","-117","0","0"
"2021-07-20","1","254.5",,"1"
"2021-07-22","1","65",,"1"
"2021-07-23","1","181",,"1"
"2021-07-29","1","-92","0","0"
"2021-07-30","1","1.5",,"1"
"2021-08-02","1","-220.5","0","0"
"2021-08-03","1","67",,"1"
"2021-08-05","1","72.5",,"1"
"2021-08-10","1","-77.5","0","0"
"2021-08-13","1","33",,"1"
"2021-08-16","1","41.5",,"1"
"2021-09-03","1","12",,"1"
"2021-09-07","1","6.5",,"1"
"2021-09-22","1","191.5",,"1"
"2021-09-24","1","124",,"1"
"2021-09-27","1","-44","0","0"
"2021-10-11","1","-282.5","0","0"
"2021-10-15","1","68",,"1"
"2021-10-18","1","233",,"1"
"2021-10-20","1","-92.5","0","0"
"2021-10-25","1","134.5",,"1"
"2021-10-29","1","222.25",,"1"
"2021-11-02","1","-15.5","0","0"
"2021-11-03","1","163.75",,"1"
"2021-11-16","1","102.5",,"1"
"2021-11-17","1","42",,"1"
"2021-11-18","1","126.25",,"1"
"2021-11-19","1","-92.5","0","0"
"2021-11-22","1","-206.5","0","0"
"2021-12-08","1","59.5",,"1"
"2021-12-30","1","-141","0","0"
"2022-01-03","1","6.5",,"1"
"2022-01-18","1","-207.5","0","0"
"2022-02-03","1","-248","0","0"
"2022-02-08","1","262.75",,"1"
"2022-02-09","1","177.5",,"1"
"2022-02-10","1","-401","0","0"
"2022-02-15","1","-158.5","0","0"
"2022-02-28","1","-2","0","0"
"2022-03-01","1","-204","0","0"
"2022-03-10","1","-9.5","0","0"
"2022-03-15","1","367.75",,"1"
"2022-03-18","1","412.25",,"1"
"2022-03-23","1","-175.5","0","0"
"2022-03-24","1","248.5",,"1"
"2022-03-25","1","-165","0","0"
"2022-03-29","1","39.5",,"1"
"2022-03-30","1","-139","0","0"
"2022-04-04","1","222",,"1"
"2022-04-07","1","-240.5","0","0"
"2022-04-08","1","-333","0","0"
"2022-04-18","1","-215.5","0","0"
"2022-04-28","1","366",,"1"
"2022-05-03","1","-51","0","0"
"2022-05-16","1","-291","0","0"
"2022-05-17","1","53.5",,"1"
"2022-05-25","1","240.25",,"1"
"2022-05-31","1","-90","0","0"
"2022-06-02","1","385.75",,"1"
"2022-06-06","1","-228","0","0"
"2022-06-07","1","255.5",,"1"
"2022-06-14","1","-302","0","0"
"2022-06-15","1","-2","0","0"
"2022-06-17","1","-115","0","0"
"2022-06-20","1","95.5",,"1"
"2022-06-21","1","-106","0","0"
"2022-06-22","1","-124","0","0"
"2022-06-23","1","97",,"1"
"2022-06-24","1","307.25",,"1"
"2022-07-01","1","23",,"1"
"2022-07-05","1","289",,"1"
"2022-07-07","1","171.5",,"1"
"2022-07-08","1","175.25",,"1"
"2022-07-14","1","250.75",,"1"
"2022-07-15","1","43",,"1"
"2022-07-19","1","265.75",,"1"
"2022-07-21","1","233",,"1"
"2022-07-27","1","375.25",,"1"
"2022-07-29","1","169.5",,"1"
"2022-08-01","1","-125","0","0"
"2022-08-02","1","67.5",,"1"
"2022-08-03","1","281",,"1"
"2022-08-05","1","27.5",,"1"
"2022-08-08","1","-364","0","0"
"2022-08-10","1","74.5",,"1"
"2022-08-15","1","97.5",,"1"
"2022-08-16","2","-17","0","0"
"2022-08-17","1","-167.5","0","0"
"2022-08-18","1","91",,"1"
"2022-08-24","1","80.25",,"1"
"2022-08-25","1","195",,"1"
"2022-09-01","1","120.5",,"1"
"2022-09-02","1","-252.5","0","0"
"2022-09-07","1","224.75",,"1"
"2022-09-08","1","107",,"1"
"2022-09-09","1","173",,"1"
"2022-09-12","1","-198","0","0"
"2022-09-19","1","190.5",,"1"
"2022-09-20","2","-48","0","0"
"2022-09-21","1","-2","0","0"
"2022-09-26","1","-312","0","0"
"2022-10-05","1","225.25",,"1"
"2022-10-11","1","-251","0","0"
"2022-10-26","1","18.75",,"1"
"2022-11-08","1","-2","0","0"
"2022-11-10","1","357.75",,"1"
"2022-11-14","1","38.75",,"1"
"2022-11-17","1","167",,"1"
"2022-11-22","1","222.75",,"1"
"2022-11-23","1","-220","0","0"
"2022-11-25","1","-63","0","0"
"2022-11-29","1","-130","0","0"
"2022-12-02","1","174.25",,"1"
"2022-12-08","1","79.5",,"1"
"2022-12-09","1","-183","0","0"
"2022-12-12","1","170.25",,"1"
"2022-12-20","1","-7","0","0"
"2022-12-29","1","107",,"1"
"2022-12-30","1","147.5",,"1"
"2023-01-10","1","-221","0","0"
"2023-01-11","1","183.75",,"1"
"2023-01-12","1","22.5",,"1"
"2023-01-13","1","208.75",,"1"
"2023-01-17","1","-3","0","0"
"2023-01-18","1","-113.5","0","0"
"2023-01-20","1","271",,"1"
"2023-01-25","1","251.25",,"1"
"2023-01-31","1","183",,"1"
"2023-02-01","1","-116.5","0","0"
"2023-02-07","1","196.75",,"1"
"2023-02-13","1","155",,"1"
"2023-02-28","1","-99.5","0","0"
"2023-03-02","1","196.75",,"1"
"2023-03-06","1","-2","0","0"
"2023-03-08","1","-126","0","0"
"2023-03-15","1","197",,"1"
"2023-03-20","1","117",,"1"
"2023-03-21","1","112",,"1"
"2023-03-22","1","135.25",,"1"
"2023-03-29","2","-9.75","0.8984","0.5"
"2023-03-30","2","-88","0.0486","0.5"
"2023-04-03","2","-121","0.0833","0.5"
"2023-04-04","1","-136.5","0","0"
"2023-04-06","1","184",,"1"
"2023-04-10","1","195.25",,"1"
"2023-04-19","1","103.75",,"1"
"2023-04-20","1","-162.5","0","0"
"2023-04-21","1","25",,"1"
"2023-04-26","2","-272","0","0"
"2023-05-01","2","-176","0","0"
"2023-05-03","1","-113","0","0"
"2023-05-05","1","207.25",,"1"
"2023-05-11","1","24",,"1"
"2023-05-15","1","84.5",,"1"
"2023-05-16","1","-70.5","0","0"
"2023-05-17","1","168.25",,"1"
"2023-05-24","1","-46","0","0"
"2023-05-25","1","20.5",,"1"
"2023-06-01","1","212.5",,"1"
"2023-06-05","1","-172","0","0"
"2023-06-06","1","77.5",,"1"
"2023-06-09","1","-228.5","0","0"
"2023-06-12","1","110.5",,"1"
"2023-06-14","2","2.5","1.0171","0.5"
"2023-06-26","1","-234.5","0","0"
"2023-06-30","1","-2.5","0","0"
"2023-07-05","1","-75","0","0"
"2023-07-06","1","40.5",,"1"
"2023-07-07","1","-178.5","0","0"
"2023-07-11","1","47.5",,"1"
"2023-07-12","2","-166","0","0"
"2023-07-13","1","152.25",,"1"
"2023-07-14","1","-185.5","0","0"
"2023-07-25","1","-8","0","0"
"2023-08-01","1","12.5",,"1"
"2023-08-04","1","-292","0","0"
"2023-08-16","1","-158","0","0"
"2023-08-23","1","197.75",,"1"
"2023-08-31","1","-74.5","0","0"
"2023-09-05","1","87",,"1"
"2023-09-07","1","69.5",,"1"
"2023-09-08","1","-206","0","0"
"2023-09-11","1","50.5",,"1"
"2023-09-13","1","-17","0","0"
"2023-09-19","1","5",,"1"
"2023-09-22","2","-131.5","0","0"
"2023-09-25","1","77.5",,"1"
"2023-09-27","1","-118","0","0"
"2023-10-12","1","-2","0","0"
"2023-10-23","1","190.5",,"1"
"2023-10-31","1","117.5",,"1"
"2023-11-01","1","199.75",,"1"
"2023-11-03","1","65.5",,"1"
"2023-11-07","1","148.75",,"1"
"2023-11-09","1","-118.5","0","0"
"2023-11-14","1","19",,"1"
"2023-11-16","1","-4.5","0","0"
"2023-11-17","1","64.5",,"1"
"2023-11-20","1","192.5",,"1"
"2023-11-27","1","-63","0","0"
"2023-11-28","1","88",,"1"
"2023-12-01","1","148",,"1"
"2023-12-05","1","93",,"1"
"2023-12-08","1","150.25",,"1"
"2023-12-11","1","137.5",,"1"
"2023-12-12","1","178.5",,"1"
"2023-12-13","1","179.5",,"1"
"2023-12-18","1","104.5",,"1"
"2023-12-19","1","48.5",,"1"
"2023-12-20","1","-111","0","0"
"2023-12-26","1","77.25",,"1"
"2023-12-27","1","-64","0","0"
"2024-01-04","1","-118","0","0"
"2024-01-05","1","-120.5","0","0"
"2024-01-08","1","294.75",,"1"
"2024-01-15","1","-3","0","0"
"2024-01-16","1","40.5",,"1"
"2024-01-17","1","49",,"1"
"2024-01-19","1","146.5",,"1"
"2024-01-23","1","79",,"1"
"2024-01-29","1","166",,"1"
"2024-02-08","1","22.5",,"1"
"2024-02-13","1","-199","0","0"
"2024-02-22","1","179.25",,"1"
"2024-02-27","1","-181.5","0","0"
"2024-02-28","1","-61","0","0"
"2024-02-29","1","-14","0","0"
"2024-03-12","1","265",,"1"
"2024-03-18","1","-172","0","0"
"2024-03-19","1","215.25",,"1"
"2024-03-22","1","70.5",,"1"
"2024-03-26","1","-93.5","0","0"
"2024-04-02","1","74",,"1"
"2024-04-11","1","156.25",,"1"
"2024-04-25","1","222.25",,"1"
"2024-05-06","1","154",,"1"
"2024-05-07","1","-100.5","0","0"
"2024-05-08","1","14.5",,"1"
"2024-05-09","1","20.5",,"1"
"2024-05-14","1","144.5",,"1"
"2024-05-15","1","254.5",,"1"
"2024-05-17","1","-98","0","0"
"2024-05-20","1","21.5",,"1"
"2024-05-21","1","126.25",,"1"
"2024-05-22","1","-87","0","0"
"2024-05-27","1","72.25",,"1"
"2024-05-28","1","-200.5","0","0"
"2024-05-29","1","-80.5","0","0"
"2024-06-07","1","46.75",,"1"
"2024-06-10","1","139",,"1"
"2024-06-11","1","246.25",,"1"
"2024-06-14","1","78",,"1"
"2024-06-17","1","209.5",,"1"
"2024-06-24","1","-201","0","0"
"2024-06-26","2","-159","0.045","0.5"
"2024-07-05","1","192.5",,"1"
"2024-07-08","1","21.5",,"1"
"2024-07-10","2","53.75","1.4574","0.5"
"2024-07-23","1","-205","0","0"
"2024-08-12","1","-59.5","0","0"
"2024-08-15","1","250.25",,"1"
"2024-08-16","1","139.75",,"1"
"2024-08-19","1","239.5",,"1"
"2024-08-21","1","-146.5","0","0"
"2024-08-27","1","158",,"1"
"2024-09-02","1","0",,"0"
"2024-09-10","1","64",,"1"
"2024-09-13","1","45.5",,"1"
"2024-09-17","1","-241","0","0"
"2024-09-23","1","-152.5","0","0"
"2024-09-24","1","31",,"1"
"2024-09-25","1","-195","0","0"
"2024-10-03","1","-311","0","0"
"2024-10-04","1","-28","0","0"
"2024-10-07","1","-154","0","0"
"2024-10-09","1","184",,"1"
"2024-10-10","1","126.75",,"1"
"2024-10-18","1","-60.5","0","0"
"2024-10-21","1","-163.5","0","0"
"2024-10-22","1","170",,"1"
"2024-10-25","1","-339.5","0","0"
"2024-10-29","1","285.25",,"1"
"2024-11-04","1","-115.5","0","0"
"2024-11-05","1","80.5",,"1"
"2024-11-06","1","170.5",,"1"
"2024-11-08","1","1",,"1"
"2024-11-13","1","35.75",,"1"
"2024-11-29","1","142",,"1"
"2024-12-02","1","90",,"1"
"2024-12-03","1","142.75",,"1"
"2024-12-05","1","-112.5","0","0"
"2024-12-06","1","84.5",,"1"
"2024-12-10","1","-173","0","0"
"2024-12-16","1","230.5",,"1"
"2024-12-18","1","-182.5","0","0"
"2025-01-17","1","-109.5","0","0"
"2025-01-21","1","-11","0","0"
"2025-01-22","1","-64","0","0"
"2025-01-23","1","157.75",,"1"
"2025-02-05","1","216.25",,"1"
"2025-02-06","1","-173.5","0","0"
"2025-02-11","1","-35","0","0"
"2025-02-12","1","198.5",,"1"
"2025-02-14","1","105",,"1"
"2025-02-17","1","-16.5","0","0"
"2025-02-19","1","90.75",,"1"
"2025-03-19","1","408.25",,"1"
"2025-03-21","1","344.25",,"1"
"2025-03-24","1","52",,"1"
"2025-03-25","1","115.5",,"1"
"2025-04-22","1","278",,"1"
"2025-04-24","1","471.25",,"1"
"2025-04-29","1","187",,"1"
"2025-04-30","1","595.75",,"1"
"2025-05-02","1","164.5",,"1"
"2025-05-05","1","78.75",,"1"
"2025-05-06","1","19.5",,"1"
"2025-05-07","1","-177.5","0","0"
"2025-05-12","1","52",,"1"
"2025-05-14","1","-19","0","0"
"2025-05-16","1","67",,"1"
"2025-05-20","1","-175.5","0","0"
"2025-05-21","1","-2","0","0"
"2025-05-22","1","-221.5","0","0"
"2025-05-23","1","47.5",,"1"
"2025-06-02","1","147.5",,"1"
"2025-06-03","1","192.5",,"1"
"2025-06-04","1","-75","0","0"
"2025-06-05","1","-300.5","0","0"
"2025-06-09","1","-6","0","0"
"2025-06-10","1","145.25",,"1"
"2025-06-11","1","-223.5","0","0"
"2025-06-12","1","119.25",,"1"
"2025-06-13","1","-269.5","0","0"
"2025-06-16","1","4.5",,"1"
"2025-06-17","1","-172","0","0"
"2025-06-18","1","-202.5","0","0"
"2025-06-23","1","-345.5","0","0"
"2025-06-24","1","143.75",,"1"
"2025-06-26","1","195.5",,"1"
"2025-06-27","1","-180.5","0","0"
"2025-06-30","1","17.5",,"1"
"2025-07-04","1","-61","0","0"
"2025-07-09","1","-242.5","0","0"
"2025-07-11","1","-28","0","0"
"2025-07-14","1","108",,"1"
"2025-07-21","1","-106.5","0","0"
"2025-07-23","1","117.5",,"1"
"2025-07-24","1","-51.5","0","0"
"2025-07-25","1","26.5",,"1"
"2025-07-30","1","-156.5","0","0"
"2025-08-11","1","-132","0","0"
"2025-08-12","1","248",,"1"
"2025-08-14","1","-80.5","0","0"
"2025-08-18","1","-170.5","0","0"
"2025-08-26","1","134",,"1"
"2025-08-27","1","130",,"1"
"2025-08-28","1","43",,"1"
"2025-09-02","1","29.5",,"1"
"2025-09-04","1","207.5",,"1"
"2025-09-09","1","16",,"1"
"2025-09-11","1","25",,"1"
"2025-09-15","1","95.5",,"1"
"2025-09-19","1","85.5",,"1"
"2025-09-29","1","-217.5","0","0"
"2025-09-30","1","131",,"1"
"2025-10-21","1","-29.5","0","0"
"2025-10-27","1","163.25",,"1"
"2025-11-04","1","-440","0","0"
"2025-11-28","1","123.5",,"1"
"2025-12-01","1","41",,"1"
"2025-12-02","1","-287.5","0","0"
"2025-12-03","1","225.75",,"1"
"2025-12-19","1","13",,"1"
"2025-12-23","1","117",,"1"
"2025-12-24","1","78.5",,"1"
"2026-01-06","1","100.5",,"1"
"2026-01-07","1","62.5",,"1"
"2026-01-09","1","283.25",,"1"
"2026-01-19","1","160",,"1"
"2026-01-20","1","-277","0","0"
"2026-01-21","1","341.5",,"1"
"2026-01-26","1","-21","0","0"
"2026-01-27","1","27",,"1"
"2026-02-17","1","-80.5","0","0"
"2026-02-20","1","229.5",,"1"
"2026-03-02","1","243.5",,"1"
"2026-03-19","1","103.5",,"1"
"2026-03-24","1","-199.5","0","0"
"2026-04-10","1","-168","0","0"
"2026-04-13","1","376.5",,"1"
"2026-04-15","1","273.25",,"1"
"2026-04-16","1","58",,"1"
"2026-04-17","1","196.5",,"1"
"2026-04-21","1","-235","0","0"
"2026-04-22","1","255.25",,"1"
"2026-04-23","1","-281","0","0"
"2026-04-27","1","27",,"1"
"2026-04-29","1","192",,"1"
"2026-05-04","1","-182.5","0","0"
"2026-05-05","1","43",,"1"
"2026-05-08","1","454.5",,"1"
"2026-05-15","1","-124.5","0","0"
"2026-05-26","1","143",,"1"
"2026-06-01","1","264.75",,"1"
"2026-06-19","1","-93","0","0"
