strategy_id,candidate_id,feature_snapshot_id,trading_date,signal_ts_ns,signal_ts_utc,direction,regime_label,entry_price,stop_price,target_prices,exit_ts_ns,exit_ts_utc,exit_price_weighted,exit_reason,holding_minutes,gross_points,gross_usd,round_turn_cost_usd,net_usd,mfe_points,mae_points,dynamic_target_rr
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-08-31-1598884140000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-08-31-1598884140000000000,2020-08-31,1598884140000000000,2020-08-31T14:29:00.000000000Z,long,low,12049,11992.5,pt1:12105.5|pt2:12162,1598903220000000000,2020-08-31T19:47:00.000000000Z,12133.75,pt2,318,84.75,169.5,2,167.5,115.25,33,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2020-09-01-1598969820000000000-opening_range_box_breakout_long,bt-mnq-12mo-2020-09-01-1598969820000000000,2020-09-01,1598969820000000000,2020-09-01T14:17:00.000000000Z,long,low,12214.5,12124.5,pt1:12304.5|pt2:12394.5,1598990340000000000,2020-09-01T19:59:00.000000000Z,12294,rth_close,342,79.5,159,2,157,86,9.5,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-09-01-1598969820000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-09-01-1598969820000000000,2020-09-01,1598969820000000000,2020-09-01T14:17:00.000000000Z,long,low,12214.5,12124.5,pt1:12304.5|pt2:12394.5,1598990340000000000,2020-09-01T19:59:00.000000000Z,12294,rth_close,342,79.5,159,2,157,86,9.5,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-09-02-1599065880000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-09-02-1599065880000000000,2020-09-02,1599065880000000000,2020-09-02T16:58:00.000000000Z,long,low,12329.5,12171.75,pt1:12487.25|pt2:12645,1599076740000000000,2020-09-02T19:59:00.000000000Z,12410.75,rth_close,181,81.25,162.5,2,160.5,106.25,13.75,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2020-09-03-1599142320000000000-opening_range_box_breakout_short,bt-mnq-12mo-2020-09-03-1599142320000000000,2020-09-03,1599142320000000000,2020-09-03T14:12:00.000000000Z,short,high,12131.75,12243,pt1:12020.5|pt2:11909.25,1599144480000000000,2020-09-03T14:48:00.000000000Z,11964.875,pt2,36,166.875,333.75,2,331.75,241.5,24.75,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2020-09-04-1599235260000000000-opening_range_box_breakout_short,bt-mnq-12mo-2020-09-04-1599235260000000000,2020-09-04,1599235260000000000,2020-09-04T16:01:00.000000000Z,short,high,11500.5,11843.75,pt1:11157.25|pt2:10814,1599249540000000000,2020-09-04T19:59:00.000000000Z,11619.75,rth_close,238,-119.25,-238.5,2,-240.5,132.5,251,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-09-08-1599592200000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-09-08-1599592200000000000,2020-09-08,1599592200000000000,2020-09-08T19:10:00.000000000Z,long,low,11135,11077.75,pt1:11192.25|pt2:11249.5,1599594420000000000,2020-09-08T19:47:00.000000000Z,11077.75,stop,37,-57.25,-114.5,2,-116.5,41.5,63,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2020-09-11-1599840780000000000-opening_range_box_breakout_short,bt-mnq-12mo-2020-09-11-1599840780000000000,2020-09-11,1599840780000000000,2020-09-11T16:13:00.000000000Z,short,high,11125.5,11281,pt1:10970|pt2:10814.5,1599854340000000000,2020-09-11T19:59:00.000000000Z,11027,pt1_then_rth_close,226,98.5,197,2,195,188,34,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2020-09-15-1600178460000000000-opening_range_box_breakout_long,bt-mnq-12mo-2020-09-15-1600178460000000000,2020-09-15,1600178460000000000,2020-09-15T14:01:00.000000000Z,long,low,11482.25,11414,pt1:11550.5|pt2:11618.75,1600179840000000000,2020-09-15T14:24:00.000000000Z,11414,stop,23,-68.25,-136.5,2,-138.5,3.25,72.75,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-09-15-1600178460000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-09-15-1600178460000000000,2020-09-15,1600178460000000000,2020-09-15T14:01:00.000000000Z,long,low,11482.25,11414,pt1:11550.5|pt2:11618.75,1600179840000000000,2020-09-15T14:24:00.000000000Z,11414,stop,23,-68.25,-136.5,2,-138.5,3.25,72.75,
